Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2
10/2/2020,180,NA,sculpin,NO,NO,56.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,180,NA,sculpin,NO,NO,99.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,180,NA,sculpin,NO,NO,59.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,180,NA,sculpin,NO,NO,60.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,190,64,masusalmon,YES,NO,130.0 ,28.1,sperm,NO,NO,NO,NA,900_226001047398,NA
10/2/2020,190,65,masusalmon,YES,NO,117.0 ,22.4,sperm,NO,NO,NO,NA,900_226001111087,NA
10/2/2020,190,66,masusalmon,NO,NO,95.0 ,9.6,NO,NO,NO,NO,NA,900_226001110204,NA
10/2/2020,190,67,masusalmon,NO,NO,93.0 ,8.7,NO,NO,NO,NO,NA,900_226001110256,NA
10/2/2020,190,68,masusalmon,YES,NO,122.0 ,20.6,NO,NO,NO,NO,NA,900_226001110986,NA
10/2/2020,190,NA,sculpin,NO,NO,61.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,190,NA,sculpin,NO,NO,90.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,200,69,masusalmon,NO,NO,107.0 ,14.7,NO,NO,NO,NO,NA,900_226001110289,NA
10/2/2020,200,NA,sculpin,NO,NO,142.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,100.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,94.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,89.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,69.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,54.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,210,NA,sculpin,NO,NO,84.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,220,70,masusalmon,YES,NO,92.0 ,8.8,NO,NO,NO,NO,NA,900_226001110252,NA
10/2/2020,220,NA,sculpin,NO,NO,40.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,83.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,112.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,76.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,64.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,67.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,230,71,whitespottedchar,YES,NO,164.0 ,39.2,NO,NO,NO,NO,NA,900_226001110899,NA
10/2/2020,230,72,masusalmon,YES,NO,121.0 ,20.2,NO,NO,NO,NO,NA,900_226001047907,NA
10/2/2020,230,73,masusalmon,NO,NO,91.0 ,9.2,NO,NO,NO,NO,NA,900_226001110222,NA
10/2/2020,230,74,masusalmon,YES,NO,120.0 ,23,sperm,NO,NO,NO,NA,900_226001047938,NA
10/2/2020,230,75,rainbowtrout,YES,NO,141.0 ,31.5,NO,YES,NO,NO,NA,900_226001110254,NA
10/2/2020,230,76,masusalmon,NO,NO,87.0 ,7.5,NO,NO,NO,NO,NA,900_226001110219,NA
10/2/2020,230,77,masusalmon,NO,NO,75.0 ,4.7,NO,NO,NO,NO,NA,900_226001110266,NA
10/2/2020,230,78,masusalmon,NO,NO,72.0 ,3.9,NO,NO,NO,NO,NA,900_226001110253,NA
10/2/2020,230,NA,sculpin,NO,NO,63.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,230,NA,sculpin,NO,NO,108.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,230,NA,sculpin,NO,NO,69.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,230,NA,sculpin,NO,NO,105.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,230,NA,sculpin,NO,NO,88.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,240,NA,sculpin,NO,NO,75.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,240,NA,sculpin,NO,NO,90.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,240,NA,sculpin,NO,NO,85.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,240,NA,sculpin,NO,NO,66.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,250,79,masusalmon,YES,NO,159.0 ,50.3,sperm,NO,NO,NO,NA,900_226001047950,NA
10/2/2020,250,80,rainbowtrout,YES,NO,122.0 ,20.5,NO,NO,NO,NO,NA,900_226001047948,NA
10/2/2020,250,81,masusalmon,NO,NO,90.0 ,8.4,NO,NO,NO,NO,NA,900_226001110250,NA
10/2/2020,250,82,masusalmon,NO,NO,101.0 ,11.3,NO,NO,NO,NO,NA,900_226001110284,NA
10/2/2020,250,83,masusalmon,NO,NO,94.0 ,8.4,NO,NO,NO,NO,NA,900_226001110273,NA
10/2/2020,250,84,masusalmon,NO,NO,89.0 ,7.5,NO,NO,NO,NO,NA,900_226001110234,NA
10/2/2020,250,NA,sculpin,NO,NO,77.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,250,NA,sculpin,NO,NO,66.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,260,85,masusalmon,YES,NO,178.0 ,63.6,sperm,NO,NO,NO,NA,900_226000493109,NA
10/2/2020,260,86,masusalmon,YES,NO,140.0 ,34.4,sperm,NO,NO,NO,NA,900_226001111027,NA
10/2/2020,260,87,masusalmon,NO,NO,91.0 ,8.3,NO,NO,NO,NO,NA,900_226001110287,NA
10/2/2020,260,88,masusalmon,NO,NO,77.0 ,5.2,NO,NO,NO,NO,NA,900_226001110276,NA
10/2/2020,260,89,masusalmon,NO,NO,82.0 ,6.2,NO,NO,NO,NO,NA,900_226001110297,NA
10/2/2020,260,90,masusalmon,NO,NO,99.0 ,11.2,NO,NO,NO,NO,NA,900_226001110264,NA
10/2/2020,260,NA,sculpin,NO,NO,91.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,270,91,masusalmon,YES,NO,125.0 ,24.3,sperm,NO,NO,NO,NA,900_226001111071,NA
10/2/2020,270,92,rainbowtrout,YES,NO,110.0 ,16.4,NO,NO,NO,NO,NA,900_226001047909,NA
10/2/2020,270,93,masusalmon,NO,NO,109.0 ,14.1,NO,NO,NO,NO,NA,900_226001110236,NA
10/2/2020,270,94,masusalmon,NO,NO,105.0 ,13.7,NO,NO,NO,NO,NA,900_226001110293,NA
10/2/2020,270,95,masusalmon,NO,NO,95.0 ,9.9,NO,NO,NO,NO,NA,900_226001110290,NA
