date,section,species,fork_length,body_mass,maturation,tagloss,injury,handlingmortality,notes,pit_number,pit_number2,smolting,removed
10/2/2020,450,rainbowtrout,68,3.4,NO,NO,NO,NO,NA,900_226001108655,NA,NA,NA
10/2/2020,460,nonspottedrainbow,131,28.9,NO,NO,NO,NO,NA,900_226001047395,NA,NA,NA
10/2/2020,460,masusalmon,123,19.3,NO,NO,NO,NO,NA,900_226001047334,NA,NA,NA
10/2/2020,460,masusalmon,122,19.5,NO,NO,NO,NO,NA,900_226001111039,NA,NA,NA
10/2/2020,460,masusalmon,80,6.2,NO,NO,NO,NO,NA,900_226001108650,NA,NA,NA
10/2/2020,460,masusalmon,74,4.7,NO,NO,NO,NO,NA,900_226001108685,NA,NA,NA
10/2/2020,480,masusalmon,95,9.2,NO,NO,NO,NO,NA,900_226001108615,NA,NA,NA
10/2/2020,480,masusalmon,78,5.3,NO,NO,NO,NO,NA,900_226001108686,NA,NA,NA
10/2/2020,480,masusalmon,113,16,NO,NO,NO,NO,NA,900_226001111252,NA,NA,NA
10/2/2020,490,masusalmon,117,16.3,NO,NO,NO,NO,NA,900_226001108628,NA,NA,NA
10/2/2020,490,masusalmon,132,28.4,sperm,NO,NO,NO,NA,900_226001573990,NA,NA,NA
10/2/2020,490,masusalmon,138,31.7,sperm,NO,NO,NO,NA,900_226001108670,NA,NA,NA
10/2/2020,490,masusalmon,113,17.7,sperm,NO,NO,NO,NA,900_226001111044,NA,NA,NA
10/2/2020,490,rainbowtrout,158,49.1,NO,NO,NO,NO,NA,900_226000493112,NA,NA,NA
10/2/2020,500,masusalmon,79,5.4,NO,NO,NO,NO,NA,900_226001108604,NA,NA,NA
10/2/2020,500,masusalmon,80,5.2,NO,NO,NO,NO,NA,900_226001108644,NA,NA,NA
10/2/2020,510,masusalmon,83,6.4,NO,NO,NO,NO,NA,900_226001108613,NA,NA,NA
10/2/2020,510,masusalmon,98,9.9,NO,NO,NO,NO,NA,900_226001108636,NA,NA,NA
10/2/2020,510,rainbowtrout,58,2.2,NO,NO,NO,NO,NA,900_226001108658,NA,NA,NA
10/2/2020,510,rainbowtrout,57,2.1,NO,NO,NO,NO,NA,900_226001108690,NA,NA,NA
10/2/2020,520,masusalmon,112,16,NO,NO,NO,NO,NA,900_226001108641,NA,NA,NA
10/2/2020,520,masusalmon,86,6.7,NO,NO,NO,NO,NA,900_226001108618,NA,NA,NA
10/2/2020,520,masusalmon,63,2.9,NO,NO,NO,NO,NA,900_226001108611,NA,NA,NA
10/2/2020,520,masusalmon,91,8.1,NO,NO,NO,NO,NA,900_226001108696,NA,NA,NA
10/2/2020,520,masusalmon,75,4.3,NO,NO,NO,NO,NA,900_226001108610,NA,NA,NA
10/2/2020,520,masusalmon,106,12.6,NO,NO,NO,NO,NA,900_226001108633,NA,NA,NA
10/2/2020,520,masusalmon,85,6.3,NO,NO,NO,NO,NA,900_226001108672,NA,NA,NA
10/2/2020,520,masusalmon,114,17.1,NO,NO,NO,NO,NA,900_226001108671,NA,NA,NA
10/2/2020,520,masusalmon,158,45,sperm,NO,NO,NO,NA,900_226001047381,NA,NA,NA
10/2/2020,530,masusalmon,103,11.3,NO,NO,NO,NO,NA,900_226001108616,NA,NA,NA
10/2/2020,530,masusalmon,86,6.7,NO,NO,NO,NO,NA,900_226001108654,NA,NA,NA
10/2/2020,530,masusalmon,105,13,sperm,NO,NO,NO,NA,900_226001108642,NA,NA,NA
10/2/2020,530,masusalmon,73,4.1,NO,NO,NO,NO,NA,900_226001108659,NA,NA,NA
10/2/2020,530,masusalmon,123,20.3,NO,NO,NO,NO,NA,900_226001108663,NA,NA,NA
10/2/2020,530,masusalmon,99,10,NO,NO,NO,NO,NA,900_226001108601,NA,NA,NA
10/2/2020,530,masusalmon,132,28,sperm,NO,NO,NO,NA,900_226001108668,NA,NA,NA
10/2/2020,530,rainbowtrout,277,185.9,NO,NO,NO,NO,NA,900_226000330508,NA,NA,NA
10/2/2020,540,masusalmon,90,8.2,NO,NO,NO,NO,NA,900_226001108606,NA,NA,NA
