Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2,life_stage,occasion,smolting,removed
10/2/2020,150,NA,sculpin,NO,NO,91,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,160,47,masusalmon,NO,NO,120,23.6,sperm,NO,NO,NO,NA,900_226001110268,NA,NA,1,NA,NA
10/2/2020,160,48,masusalmon,NO,NO,92,8,NO,NO,NO,NO,NA,900_226001110275,NA,NA,1,NA,NA
10/2/2020,160,49,masusalmon,YES,NO,102,12.8,NO,NO,NO,NO,NA,900_226001047098,NA,NA,1,NA,NA
10/2/2020,160,50,masusalmon,NO,NO,85,7,NO,NO,NO,NO,NA,900_226001110259,NA,NA,1,NA,NA
10/2/2020,160,51,masusalmon,NO,NO,81,5.2,NO,NO,NO,NO,NA,900_226001110202,NA,NA,1,NA,NA
10/2/2020,160,NA,sculpin,NO,NO,74,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,160,NA,sculpin,NO,NO,63,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,160,NA,sculpin,NO,NO,65,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,160,NA,sculpin,NO,NO,60,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,170,52,whitespottedchar,NO,NO,152,37.6,NO,NO,NO,NO,NA,900_226001110283,NA,NA,1,NA,NA
10/2/2020,170,53,masusalmon,NO,NO,111,16.7,NO,NO,NO,NO,NA,900_226001110295,NA,NA,1,NA,NA
10/2/2020,170,54,masusalmon,NO,NO,95,9.2,NO,NO,NO,NO,NA,900_226001110263,NA,NA,1,NA,NA
10/2/2020,170,55,masusalmon,NO,NO,90,8.8,NO,NO,NO,NO,NA,900_226001110235,NA,NA,1,NA,NA
10/2/2020,170,56,masusalmon,NO,NO,108,16.1,sperm,NO,NO,NO,NA,900_226001110218,NA,NA,1,NA,NA
10/2/2020,170,57,masusalmon,NO,NO,125,21.7,NO,NO,NO,NO,NA,900_226001110294,NA,NA,1,NA,NA
10/2/2020,170,58,masusalmon,NO,NO,90,7.5,sperm,NO,NO,NO,NA,900_226001110231,NA,NA,1,NA,NA
10/2/2020,170,59,masusalmon,NO,NO,125,25.1,sperm,NO,NO,NO,NA,900_226001110257,NA,NA,1,NA,NA
10/2/2020,170,60,masusalmon,NO,NO,82,6.6,NO,NO,NO,NO,NA,900_226001110270,NA,NA,1,NA,NA
10/2/2020,170,61,masusalmon,NO,NO,129,28.2,sperm,NO,NO,NO,NA,900_226001110279,NA,NA,1,NA,NA
10/2/2020,170,62,masusalmon,NO,NO,149,41.5,sperm,NO,NO,NO,NA,900_226001110299,NA,NA,1,NA,NA
10/2/2020,170,63,masusalmon,YES,NO,152,44.1,sperm,NO,NO,NO,NA,900_226001047088,NA,NA,1,NA,NA
10/2/2020,170,NA,sculpin,NO,NO,102,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,180,NA,sculpin,NO,NO,82,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,180,NA,sculpin,NO,NO,56,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,180,NA,sculpin,NO,NO,99,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,180,NA,sculpin,NO,NO,59,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,180,NA,sculpin,NO,NO,60,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,190,64,masusalmon,YES,NO,130,28.1,sperm,NO,NO,NO,NA,900_226001047398,NA,NA,1,NA,NA
10/2/2020,190,65,masusalmon,YES,NO,117,22.4,sperm,NO,NO,NO,NA,900_226001111087,NA,NA,1,NA,NA
10/2/2020,190,66,masusalmon,NO,NO,95,9.6,NO,NO,NO,NO,NA,900_226001110204,NA,NA,1,NA,NA
10/2/2020,190,67,masusalmon,NO,NO,93,8.7,NO,NO,NO,NO,NA,900_226001110256,NA,NA,1,NA,NA
10/2/2020,190,68,masusalmon,YES,NO,122,20.6,NO,NO,NO,NO,NA,900_226001110986,NA,NA,1,NA,NA
10/2/2020,190,NA,sculpin,NO,NO,61,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,190,NA,sculpin,NO,NO,90,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,200,69,masusalmon,NO,NO,107,14.7,NO,NO,NO,NO,NA,900_226001110289,NA,NA,1,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,142,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,100,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,94,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,89,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,69,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,200,NA,sculpin,NO,NO,54,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,210,NA,sculpin,NO,NO,84,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,220,70,masusalmon,YES,NO,92,8.8,NO,NO,NO,NO,NA,900_226001110252,NA,NA,1,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,40,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,83,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,112,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,76,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,64,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,220,NA,sculpin,NO,NO,67,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,230,71,whitespottedchar,YES,NO,164,39.2,NO,NO,NO,NO,NA,900_226001110899,NA,NA,1,NA,NA
10/2/2020,230,72,masusalmon,YES,NO,121,20.2,NO,NO,NO,NO,NA,900_226001047907,NA,NA,1,NA,NA
10/2/2020,230,73,masusalmon,NO,NO,91,9.2,NO,NO,NO,NO,NA,900_226001110222,NA,NA,1,NA,NA
